"","crsp_fundno","wficn","fundno","cusip8","ticker","fund_name","tna_latest_dt","tna_latest","num_holdings","mgmt_name","et_flag","nav_latest_dt","nav_latest","first_offer_dt","per_com","per_pref","per_conv","per_corp","per_muni","per_govt","per_oth","per_cash","per_bond","per_abs","per_mbs","per_eq_oth","per_fi_oth","open_to_inv","retail_fund","inst_fund","index_fund_flag","dead_flag","delist_cd","crsp_obj_cd","lipper_obj_cd","lipper_obj_name","lipper_class","lipper_class_name","si_obj_cd","wbrger_obj_cd","lipper_asset_cd","country"
"90",27635,500550,54299,"78462F10","SPY","SPDR S&P 500 ETF Trust",2018-03-29,254957,484,"State Street Bank and Trust Company","F",2018-03-29,263.4175,1993-01-22,99.87,0,0,0,0,0,0,0.13,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCL","SP","S&P 500 INDEX OBJECTIVE FUNDS","SPSP","S&P 500 Index Funds",NA,NA,"EQ","UNITED STATES"
"104",16416,500597,56807,"46428720","IVV","iShares Trust: iShares Core S&P 500 ETF",2018-03-29,140269.4,484,"BlackRock Fund Advisors","F",2018-03-29,265.21,2000-05-15,99.69,0,0,0,0,0,0.22,0.08,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCL","SP","S&P 500 INDEX OBJECTIVE FUNDS","SPSP","S&P 500 Index Funds",NA,NA,"EQ","UNITED STATES"
"7",31466,103544,62242,"92290876","VTI","Vanguard Index Funds: Vanguard Total Stock Market Index Fund; ETF Class Shares",2018-03-29,92469.8,3690,"Vanguard Group Inc","F",2018-03-29,135.69,2001-05-24,99.37,0,0,0,0,0.02,0.01,0.6,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDYB","GI","GROWTH & INCOME FUNDS","MLCE","Multi-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"5",50485,103524,62170,"92290836","VOO","Vanguard Index Funds: Vanguard 500 Index Fund; ETF Shares",2018-03-29,86404,488,"Vanguard Group Inc","F",2018-03-29,241.95,2010-09-07,99.62,0,0,0.23,0,0.12,-0.01,0.03,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCL","SP","S&P 500 INDEX OBJECTIVE FUNDS","SPSP","S&P 500 Index Funds",NA,NA,"EQ","UNITED STATES"
"150",16433,500730,67052,"46428746","EFA","iShares Trust: iShares MSCI EAFE ETF",2018-03-29,77356.8,26,"BlackRock Fund Advisors","F",2018-03-29,69.28,2001-08-14,95.75,0.63,0,0,0,0,1.14,0.39,0,0,0,2.09,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IMLC","International Multi-Cap Core",NA,NA,"EQ","UNITED STATES"
"17",35856,200216,51644,"92194385","VEA","Vanguard Tax-Managed Funds: Vanguard Tax-Managed International Fund; Vanguard FTSE Developed Markets ETF",2018-03-29,70510.2,45,"Vanguard Group Inc","F",2018-03-29,44.16,2007-07-20,94.08,0.77,0,0.06,0,0.06,1.22,1.94,0,0.04,0,1.65,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IMLC","International Multi-Cap Core",NA,NA,"EQ","UNITED STATES"
"32",31350,500075,2625,"92204285","VWO","Vanguard International Equity Index Funds: Vanguard Emerging Markets Stock Index Fund; Vanguard FTSE EM ETF",2018-03-29,68246.6,108,"Vanguard Group Inc","F",2018-03-29,46.77,2005-03-04,85.73,2.1,0,0.07,0,0.03,0.79,1.96,0,0,0.04,9.19,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ","UNITED STATES"
"87",24697,500522,52877,"73935A10","QQQ","PowerShares QQQ Trust, Series 1",2018-03-29,59700.6,96,"Invesco Powershares Capital Mgmt LLC","F",2018-03-29,160.2271,1999-03-10,97.48,0,0,0,0,0,0,0,0,0,0,2.52,0,"Y","N","Y","D","N",NA,"EDYG","G","GROWTH FUNDS","LCGE","Large-Cap Growth Funds",NA,NA,"EQ","UNITED STATES"
"2670",56419,NA,NA,"46432F84","IEFA","iShares Trust: iShares Core MSCI EAFE ETF",2018-03-29,55681.2,NA,"BlackRock Fund Advisors","F",2018-03-29,65.29,2012-10-18,95.97,0.59,0,0,0,0,1.45,0.2,0,0,0,1.8,0,"Y","N","Y","D","N",NA,"EF","IF","INTERNATIONAL FUNDS","IMLC","International Multi-Cap Core",NA,NA,"EQ",NA
"526",16417,600393,37813,"46428722","AGG","iShares Trust: iShares Core US Aggregate Bond ETF",2018-03-29,54731.8,1,"BlackRock Fund Advisors","F",2018-03-29,107.15,2003-09-22,0,0,0,32.11,1.02,43.5,0.48,-7.9,0,0.02,23.79,0,6.99,"Y","N","Y","D","N",NA,"I","IID","CORE BOND FUNDS","IID","Core Bond Funds",NA,NA,"TX","UNITED STATES"
"2671",56420,NA,NA,"46434G10","IEMG","iShares, Inc: iShares Core MSCI Emerging Markets ETF",2018-03-29,49228.6,NA,"BlackRock Fund Advisors","F",2018-03-29,57.5,2012-10-18,85.29,3.5,0,0,0,0,0.83,0,0,0,0,10.39,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ",NA
"95",16437,500589,56772,"46428750","IJH","iShares Trust: iShares Core S&P Mid-Cap ETF",2018-03-29,44298.3,395,"BlackRock Fund Advisors","F",2018-03-29,187.51,2000-05-22,99.76,0,0,0,0,0,0.22,0.02,0,0,0,0,0,"Y","N","Y","D","N",NA,"EDCM","MC","MID-CAP FUNDS","MCCE","Mid-Cap Core Funds",NA,NA,"EQ","UNITED STATES"
"47",16418,500346,36970,"46428723","EEM","iShares, Inc: iShares MSCI Emerging Markets ETF",2018-03-29,42333.1,53,"BlackRock Fund Advisors","F",2018-03-29,47.61,2003-04-07,84.99,3.82,0,0,0,0,0.78,0,0,0,0,10.41,0,"Y","N","Y","D","N",NA,"EFRM","EM","EMERGING MARKETS FUNDS","EM","Emerging Markets Funds",NA,NA,"EQ","UNITED STATES"
