"","permno","permco","namedt","nameenddt","cusip","ncusip","ticker","comnam","hexcd","exchcd","siccd","shrcd","shrcls","st_date","end_date","namedum"
"2515",11307,9160,1987-05-08,1993-10-14,"00020910","00020910","SODA","A & W BRANDS INC",3,3,2080,11,NA,1987-05-29,1993-10-29,2
"6412",14945,55038,2014-10-02,2018-06-29,"00030710","00030710","AAC","A A C HOLDINGS INC",1,1,6799,11,NA,2014-10-31,2018-06-29,2
"30233",76868,10817,1993-09-16,2018-06-29,"00036020","00036020","AAON","AAON INC",3,3,3580,11,NA,1991-01-31,2018-06-29,2
"21859",54594,20000,1980-11-17,2018-06-29,"00036110","00036110","AIR","A A R CORP",1,1,3662,11,NA,1972-04-28,2018-06-29,2
"45569",91783,7252,1996-10-15,1998-10-07,"00057310","00057310","ABCC","A B C DISPENSING TECHS INC",3,3,3570,11,NA,1985-03-29,1998-10-30,2
"33699",79932,12673,1999-02-23,2001-10-12,"00075210","00075210","ABCR","A B C N A C O INC",3,3,3740,11,NA,1993-12-31,2001-10-31,2
"34405",80499,13111,1994-05-26,1999-07-22,"00077R10","00077R10","ABRX","A B R INFORMATION SERVICES INC",3,3,8090,11,NA,1994-05-31,1999-07-30,2
"157",10074,5271,1982-01-18,1996-03-13,"00078110","00078110","ABSI","A B S INDUSTRIES INC",3,3,3312,11,NA,1982-01-29,1996-03-29,2
"32803",79245,12243,1993-06-30,1999-02-25,"00078210","00078210","ABTC","A B T BUILDING PRODUCTS CORP",3,3,2430,11,NA,1993-06-30,1999-02-26,2
"41037",86828,16482,1999-09-01,2002-04-03,"00078810","00078810","ABWG","A B WATLEY GROUP INC",3,3,6210,11,NA,1999-04-30,2002-04-30,2
"39061",85017,7930,1987-01-19,1998-04-22,"00079410","00079410","ACCC","A C C CORP",3,3,4820,11,NA,1985-12-31,1998-04-30,2
"37340",83465,14636,1996-05-17,1997-10-21,"00079H10","00079H10","ACCI","A C C CONSUMER FINANCE CORP",3,3,6140,11,NA,1996-05-31,1997-10-31,2
"44804",90825,47179,2012-05-01,2018-06-29,"00081T10","00081T10","ACCO","A C C O BRANDS CORP",1,1,3579,11,NA,2005-08-31,2018-06-29,2
"45427",91561,51407,2006-11-10,2007-12-17,"00083310","00083310","ACA","A C A CAPITAL HOLDINGS INC",1,1,6351,11,NA,2006-11-30,2007-12-31,2
"4466",12480,53624,2010-12-20,2018-06-29,"00086810","00086810","ACNB","A C N B CORP",3,3,6022,11,NA,2010-12-31,2018-06-29,2
"39525",85452,15750,1997-10-09,2011-11-18,"00086T10","00086T10","ACMR","AC MOORE ARTS AND CRAFTS INC",3,3,5990,11,NA,1997-10-31,2011-11-30,2
