date,drivers KSI,petrol price
1969-01-01,1687,0.103
1969-02-01,1508,0.1024
1969-03-01,1507,0.1021
1969-04-01,1385,0.1009
1969-05-01,1632,0.101
1969-06-01,1511,0.1006
1969-07-01,1559,0.1038
1969-08-01,1630,0.1041
1969-09-01,1579,0.1038
1969-10-01,1653,0.103
1969-11-01,2152,0.1027
1969-12-01,2148,0.102
1970-01-01,1752,0.1013
1970-02-01,1765,0.1007
1970-03-01,1717,0.1001
1970-04-01,1558,0.0986
1970-05-01,1575,0.0983
1970-06-01,1520,0.0981
1970-07-01,1805,0.0973
1970-08-01,1800,0.0974
1970-09-01,1719,0.0974
1970-10-01,2008,0.0964
1970-11-01,2242,0.0957
1970-12-01,2478,0.0951
1971-01-01,2030,0.0967
1971-02-01,1655,0.0961
1971-03-01,1693,0.0954
1971-04-01,1623,0.0947
1971-05-01,1805,0.0941
1971-06-01,1746,0.0935
1971-07-01,1795,0.093
1971-08-01,1926,0.0928
1971-09-01,1619,0.0927
1971-10-01,1992,0.0923
1971-11-01,2233,0.0917
1971-12-01,2192,0.0913
1972-01-01,2080,0.0907
1972-02-01,1768,0.0903
1972-03-01,1835,0.09
1972-04-01,1569,0.0891
1972-05-01,1976,0.0887
1972-06-01,1853,0.0882
1972-07-01,1965,0.0889
1972-08-01,1689,0.0882
1972-09-01,1778,0.0889
1972-10-01,1976,0.0877
1972-11-01,2397,0.0874
1972-12-01,2654,0.087
1973-01-01,2097,0.0864
1973-02-01,1963,0.0859
1973-03-01,1677,0.0854
1973-04-01,1941,0.0838
1973-05-01,2003,0.0846
1973-06-01,1813,0.0841
1973-07-01,2012,0.0838
1973-08-01,1912,0.0835
1973-09-01,2084,0.0828
1973-10-01,2080,0.0812
1973-11-01,2118,0.0829
1973-12-01,2150,0.0942
1974-01-01,1608,0.0924
1974-02-01,1503,0.1082
1974-03-01,1548,0.1072
1974-04-01,1382,0.114
1974-05-01,1731,0.1125
1974-06-01,1798,0.1113
1974-07-01,1779,0.1103
1974-08-01,1887,0.1082
1974-09-01,2004,0.107
1974-10-01,2077,0.1049
1974-11-01,2092,0.1194
1974-12-01,2051,0.1176
1975-01-01,1577,0.133
1975-02-01,1356,0.1308
1975-03-01,1652,0.1283
1975-04-01,1382,0.1235
1975-05-01,1519,0.1186
1975-06-01,1421,0.1163
1975-07-01,1442,0.1152
1975-08-01,1543,0.1145
1975-09-01,1656,0.1135
1975-10-01,1561,0.1119
1975-11-01,1905,0.1106
1975-12-01,2199,0.1153
